Day,Classement Home,Classement Away,FTHG,FTAG,FTR,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
1,6,15,4,0,1,55,38,54,32,50,50,4,-18,150,35
1,13,8,3,4,0,45,52,43,53,43,53,0,0,30,20
1,2,12,3,1,1,72,46,62,50,30,51,32,-1,90,68
1,5,19,1,2,0,58,31,52,29,40,55,12,-26,41,35
1,10,17,1,3,0,47,33,47,36,46,55,1,-19,60,215
1,7,9,0,1,0,53,49,28,35,32,41,-4,-6,50,40
1,4,20,2,1,1,62,26,55,25,40,64,15,-39,74,30
1,14,11,0,2,0,38,46,33,57,41,46,-8,11,70,37
1,3,16,2,0,1,66,35,63,29,45,49,18,-20,285,36
1,1,18,3,0,1,88,33,100,29,32,49,68,-20,500,34
1,9,3,1,0,1,49,66,35,63,41,45,-6,18,40,285
2,16,5,1,2,0,35,58,29,52,49,40,-20,12,36,41
2,18,7,1,1,0,5,33,53,29,28,49,32,-20,-4,34,50
2,19,10,2,0,1,31,47,29,47,55,46,-26,1,35,60
2,20,1,1,3,0,26,88,25,100,64,32,-39,68,30,500
2,17,2,0,0,0,5,33,72,36,62,55,30,-19,32,215,90
2,12,13,1,0,1,46,45,50,43,51,43,-1,0,68,30
2,8,6,3,1,1,52,55,53,54,53,50,0,4,20,150
2,11,4,1,1,0,5,46,62,57,55,46,40,11,15,37,74
2,15,14,2,1,1,38,38,32,33,50,41,-18,-8,35,70
3,3,11,2,0,1,66,46,63,57,45,46,18,11,285,37
3,16,9,4,1,1,35,49,29,35,49,41,-20,-6,36,40
3,5,4,0,0,0,5,58,62,52,55,40,40,12,15,41,74
3,10,18,1,1,0,5,47,33,47,29,46,49,1,-20,60,34
3,7,19,0,4,0,53,31,28,29,32,55,-4,-26,50,35
3,1,13,3,1,1,88,45,100,43,32,43,68,0,500,30
3,15,8,1,0,1,38,52,32,53,50,53,-18,0,35,20
3,14,17,2,1,1,38,33,33,36,41,55,-8,-19,70,215
3,2,20,3,0,1,72,26,62,25,30,64,32,-39,90,30
3,6,12,2,2,0,5,55,46,54,50,50,51,4,-1,150,68
4,3,7,0,1,0,66,53,63,28,45,32,18,-4,285,50
4,13,2,1,0,1,45,72,43,62,43,30,0,32,30,90
4,19,18,0,2,0,31,33,29,29,55,49,-26,-20,35,34
4,20,15,1,2,0,26,38,25,32,64,50,-39,-18,30,35
4,8,1,2,4,0,52,88,53,100,53,32,0,68,20,500
4,9,5,0,1,0,49,58,35,52,41,40,-6,12,40,41
4,11,10,2,3,0,46,47,57,47,46,46,11,1,37,60
4,17,6,2,3,0,33,55,36,54,55,50,-19,4,215,150
4,12,14,2,0,1,46,38,50,33,51,41,-1,-8,68,70
4,4,16,0,0,0,5,62,35,55,29,40,49,15,-20,74,36
5,7,12,2,1,1,53,46,28,50,32,51,-4,-1,50,68
5,1,4,4,0,1,88,62,100,55,32,40,68,15,500,74
5,16,2,2,3,0,35,72,29,62,49,30,-20,32,36,90
5,18,3,2,2,0,5,33,66,29,63,49,45,-20,18,34,285
5,19,13,1,3,0,31,45,29,43,55,43,-26,0,35,30
5,5,11,1,1,0,5,58,46,52,57,40,46,12,11,41,37
5,15,17,1,1,0,5,38,33,32,36,50,55,-18,-19,35,215
5,14,8,3,3,0,5,38,52,33,53,41,53,-8,0,70,20
5,6,20,4,0,1,55,26,54,25,50,64,4,-39,150,30
5,10,9,0,0,0,5,47,49,47,35,46,41,1,-6,60,40
6,17,8,1,1,0,5,33,52,36,53,55,53,-19,0,215,20
6,13,15,0,0,0,5,45,38,43,32,43,50,0,-18,30,35
6,2,10,2,1,1,72,47,62,47,30,46,32,1,90,60
6,5,7,1,0,1,58,53,52,28,40,32,12,-4,41,50
6,9,19,0,0,0,5,49,31,35,29,41,55,-6,-26,40,35
6,4,18,2,1,1,62,33,55,29,40,49,15,-20,74,34
6,11,16,3,1,1,46,35,57,29,46,49,11,-20,37,36
6,20,14,1,3,0,26,38,25,33,64,41,-39,-8,30,70
6,3,6,4,2,1,66,55,63,54,45,50,18,4,285,150
6,12,1,1,3,0,46,88,50,100,51,32,-1,68,68,500
7,17,13,0,1,0,33,45,36,43,55,43,-19,0,215,30
7,10,7,1,2,0,47,53,47,28,46,32,1,-4,60,50
7,15,4,2,3,0,38,62,32,55,50,40,-18,15,35,74
7,16,12,2,1,1,35,46,29,50,49,51,-20,-1,36,68
7,14,2,1,0,1,38,72,33,62,41,30,-8,32,70,90
7,18,5,2,2,0,5,33,58,29,52,49,40,-20,12,34,41
7,19,3,0,3,0,31,66,29,63,55,45,-26,18,35,285
7,6,11,3,2,1,55,46,54,57,50,46,4,11,150,37
7,8,20,0,0,0,5,52,26,53,25,53,64,0,-39,20,30
7,1,9,4,1,1,88,49,100,35,32,41,68,-6,500,40
8,4,17,2,0,1,62,33,55,36,40,55,15,-19,74,215
8,13,20,0,1,0,45,26,43,25,43,64,0,-39,30,30
8,18,16,1,0,1,33,35,29,29,49,49,-20,-20,34,36
8,3,10,1,1,0,5,66,47,63,47,45,46,18,1,285,60
8,7,1,0,3,0,53,88,28,100,32,32,-4,68,50,500
8,9,14,0,0,0,5,49,38,35,33,41,41,-6,-8,40,70
8,11,19,3,0,1,46,31,57,29,46,55,11,-26,37,35
8,2,6,3,0,1,72,55,62,54,30,50,32,4,90,150
8,5,8,3,0,1,58,52,52,53,40,53,12,0,41,20
8,12,15,1,1,0,5,46,38,50,32,51,50,-1,-18,68,35
9,15,7,1,1,0,5,38,53,32,28,50,32,-18,-4,35,50
9,16,19,1,0,1,35,31,29,29,49,55,-20,-26,36,35
9,13,11,2,2,0,5,45,46,43,57,43,46,0,11,30,37
9,20,5,1,1,0,5,26,58,25,52,64,40,-39,12,30,41
9,2,4,3,1,1,72,62,62,55,30,40,32,15,90,74
9,8,9,0,0,0,5,52,49,53,35,53,41,0,-6,20,40
9,14,10,3,0,1,38,47,33,47,41,46,-8,1,70,60
9,6,18,2,0,1,55,33,54,29,50,49,4,-20,150,34
9,17,12,1,2,0,33,46,36,50,55,51,-19,-1,215,68
9,1,3,5,0,1,88,66,100,63,32,45,68,18,500,285
10,3,8,2,0,1,66,52,63,53,45,53,18,0,285,20
10,18,20,0,0,0,5,33,26,29,25,49,64,-20,-39,34,30
10,19,2,1,2,0,31,72,29,62,55,30,-26,32,35,90
10,10,15,4,0,1,47,38,47,32,46,50,1,-18,60,35
10,1,16,5,0,1,88,35,100,29,32,49,68,-20,500,36
10,9,13,1,1,0,5,49,45,35,43,41,43,-6,0,40,30
10,11,17,2,1,1,46,33,57,36,46,55,11,-19,37,215
10,5,14,2,0,1,58,38,52,33,40,41,12,-8,41,70
10,7,6,0,1,0,53,55,28,54,32,50,-4,4,50,150
10,4,12,1,1,0,5,62,46,55,50,40,51,15,-1,74,68
11,8,4,1,1,0,5,52,62,53,55,53,40,0,15,20,74
11,16,10,1,2,0,35,47,29,47,49,46,-20,1,36,60
11,13,3,1,2,0,45,66,43,63,43,45,0,18,30,285
11,20,11,1,1,0,5,26,46,25,57,64,46,-39,11,30,37
11,2,18,1,0,1,72,33,62,29,30,49,32,-20,90,34
11,17,19,2,2,0,5,33,31,36,29,55,55,-19,-26,215,35
11,15,5,0,3,0,38,58,32,52,50,40,-18,12,35,41
11,14,7,0,1,0,38,53,33,28,41,32,-8,-4,70,50
11,6,1,0,2,0,55,88,54,100,50,32,4,68,150,500
11,12,9,0,2,0,46,49,50,35,51,41,-1,-6,68,40
12,1,2,2,1,1,88,72,100,62,32,30,68,32,500,90
12,18,12,1,2,0,33,46,29,50,49,51,-20,-1,34,68
