Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
1,Marseille,Toulouse,4,0,H,6,15,55,38,54,32,50,50,4,-18,150,35
1,Angers,Nimes,3,4,A,13,8,45,52,43,53,43,53,0,0,30,20
1,Lille,Rennes,3,1,H,2,12,72,46,62,50,30,51,32,-1,90,68
1,Montpellier,Dijon,1,2,A,5,19,58,31,52,29,40,55,12,-26,41,35
1,Nantes,Monaco,1,3,A,10,17,47,33,47,36,46,55,1,-19,60,215
1,Nice,Reims,0,1,A,7,9,53,49,28,35,32,41,-4,-6,50,40
1,St Etienne,Guingamp,2,1,H,4,20,62,26,55,25,40,64,15,-39,74,30
1,Bordeaux,Strasbourg,0,2,A,14,11,38,46,33,57,41,46,-8,11,70,37
1,Lyon,Amiens,2,0,H,3,16,66,35,63,29,45,49,18,-20,285,36
1,Paris SG,Caen,3,0,H,1,18,88,33,100,29,32,49,68,-20,500,34
1,Reims,Lyon,1,0,H,9,3,49,66,35,63,41,45,-6,18,40,285
2,Amiens,Montpellier,1,2,A,16,5,35,58,29,52,49,40,-20,12,36,41
2,Caen,Nice,1,1,D,18,7,33,53,29,28,49,32,-20,-4,34,50
2,Dijon,Nantes,2,0,H,19,10,31,47,29,47,55,46,-26,1,35,60
2,Guingamp,Paris SG,1,3,A,20,1,26,88,25,100,64,32,-39,68,30,500
2,Monaco,Lille,0,0,D,17,2,33,72,36,62,55,30,-19,32,215,90
2,Rennes,Angers,1,0,H,12,13,46,45,50,43,51,43,-1,0,68,30
2,Nimes,Marseille,3,1,H,8,6,52,55,53,54,53,50,0,4,20,150
2,Strasbourg,St Etienne,1,1,D,11,4,46,62,57,55,46,40,11,15,37,74
2,Toulouse,Bordeaux,2,1,H,15,14,38,38,32,33,50,41,-18,-8,35,70
3,Lyon,Strasbourg,2,0,H,3,11,66,46,63,57,45,46,18,11,285,37
3,Amiens,Reims,4,1,H,16,9,35,49,29,35,49,41,-20,-6,36,40
3,Montpellier,St Etienne,0,0,D,5,4,58,62,52,55,40,40,12,15,41,74
3,Nantes,Caen,1,1,D,10,18,47,33,47,29,46,49,1,-20,60,34
3,Nice,Dijon,0,4,A,7,19,53,31,28,29,32,55,-4,-26,50,35
3,Paris SG,Angers,3,1,H,1,13,88,45,100,43,32,43,68,0,500,30
3,Toulouse,Nimes,1,0,H,15,8,38,52,32,53,50,53,-18,0,35,20
3,Bordeaux,Monaco,2,1,H,14,17,38,33,33,36,41,55,-8,-19,70,215
3,Lille,Guingamp,3,0,H,2,20,72,26,62,25,30,64,32,-39,90,30
3,Marseille,Rennes,2,2,D,6,12,55,46,54,50,50,51,4,-1,150,68
4,Lyon,Nice,0,1,A,3,7,66,53,63,28,45,32,18,-4,285,50
4,Angers,Lille,1,0,H,13,2,45,72,43,62,43,30,0,32,30,90
4,Dijon,Caen,0,2,A,19,18,31,33,29,29,55,49,-26,-20,35,34
4,Guingamp,Toulouse,1,2,A,20,15,26,38,25,32,64,50,-39,-18,30,35
4,Nimes,Paris SG,2,4,A,8,1,52,88,53,100,53,32,0,68,20,500
4,Reims,Montpellier,0,1,A,9,5,49,58,35,52,41,40,-6,12,40,41
4,Strasbourg,Nantes,2,3,A,11,10,46,47,57,47,46,46,11,1,37,60
4,Monaco,Marseille,2,3,A,17,6,33,55,36,54,55,50,-19,4,215,150
4,Rennes,Bordeaux,2,0,H,12,14,46,38,50,33,51,41,-1,-8,68,70
4,St Etienne,Amiens,0,0,D,4,16,62,35,55,29,40,49,15,-20,74,36
5,Nice,Rennes,2,1,H,7,12,53,46,28,50,32,51,-4,-1,50,68
5,Paris SG,St Etienne,4,0,H,1,4,88,62,100,55,32,40,68,15,500,74
5,Amiens,Lille,2,3,A,16,2,35,72,29,62,49,30,-20,32,36,90
5,Caen,Lyon,2,2,D,18,3,33,66,29,63,49,45,-20,18,34,285
5,Dijon,Angers,1,3,A,19,13,31,45,29,43,55,43,-26,0,35,30
5,Montpellier,Strasbourg,1,1,D,5,11,58,46,52,57,40,46,12,11,41,37
5,Toulouse,Monaco,1,1,D,15,17,38,33,32,36,50,55,-18,-19,35,215
5,Bordeaux,Nimes,3,3,D,14,8,38,52,33,53,41,53,-8,0,70,20
5,Marseille,Guingamp,4,0,H,6,20,55,26,54,25,50,64,4,-39,150,30
5,Nantes,Reims,0,0,D,10,9,47,49,47,35,46,41,1,-6,60,40
6,Monaco,Nimes,1,1,D,17,8,33,52,36,53,55,53,-19,0,215,20
6,Angers,Toulouse,0,0,D,13,15,45,38,43,32,43,50,0,-18,30,35
6,Lille,Nantes,2,1,H,2,10,72,47,62,47,30,46,32,1,90,60
6,Montpellier,Nice,1,0,H,5,7,58,53,52,28,40,32,12,-4,41,50
6,Reims,Dijon,0,0,D,9,19,49,31,35,29,41,55,-6,-26,40,35
6,St Etienne,Caen,2,1,H,4,18,62,33,55,29,40,49,15,-20,74,34
6,Strasbourg,Amiens,3,1,H,11,16,46,35,57,29,46,49,11,-20,37,36
6,Guingamp,Bordeaux,1,3,A,20,14,26,38,25,33,64,41,-39,-8,30,70
6,Lyon,Marseille,4,2,H,3,6,66,55,63,54,45,50,18,4,285,150
6,Rennes,Paris SG,1,3,A,12,1,46,88,50,100,51,32,-1,68,68,500
7,Monaco,Angers,0,1,A,17,13,33,45,36,43,55,43,-19,0,215,30
7,Nantes,Nice,1,2,A,10,7,47,53,47,28,46,32,1,-4,60,50
7,Toulouse,St Etienne,2,3,A,15,4,38,62,32,55,50,40,-18,15,35,74
